Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,47n,C21812
"C10, C11, C12, C6, C7",1206,5,10u,C13585
"D1, D3",0603,2,Red,C2286
"D10, D7",0805,2,Green,C2297
"D14, D15",0603,2,Blue,C2288
"D17, D18",1206,2,Yellow (rev),C125108
"D2, D4",1206,2,Red (rev),C125107
D5,D_SOD-123F,1,RB161MM-20TR,C123070
D6,D_SOD-123,1,BZT52C3V3,C19077396
"R1, R3",0603,2,1.5K,C22843
"R10, R6, R8, R9",0603,4,1K,C21190
R12,0603,1,390,C23151
"R2, R4",0603,2,4K7,C23162
"R5, R7",0603,2,300,C23025
